title,price,rate,image_urls
"SANSUI Computer Monitor 24 inch IPS Eye Care 1080P Display HDMI,VGA Ports with 178° Viewing Angle/Frame-Less/Tilt/VESA Compatible for Office and Home",$79.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71K2NPnvgCL._AC_UL320_.jpg
SANSUI Monitor 24 inch 100Hz Computer Monitor丨FHD 1080P PC Monitor丨HDMI丨FreeSync丨HDR丨Earphone Jack丨 Ergonomic Tilt for Home and Office,$79.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71JDUlb49DL._AC_UL320_.jpg
"SANSUI Monitor 27 Inch 100Hz USB Type-C Computer Monitor, FHD 1920X1080P,Frameless Eye Care PC Office Monitor with HDMI, Adaptive Sync, HDR, VESA(100x100mm)（ES-27F2C HDMI Cable Included）",$99.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71kGCI3vhVL._AC_UL320_.jpg
"Sceptre New 27-inch Gaming Monitor 100Hz 1ms DisplayPort HDMI x2 100% sRGB AMD FreeSync Build-in Speakers, Eye Care Frameless Machine Black 2024 (E275W-FW100T)",$97.97,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71jdr9u9YhL._AC_UL320_.jpg
"acer KB272 G0bi 27"" IPS Full HD (1920 x 1080) Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | sRGB 99% | Tilt | HDMI & VGA Ports",$108.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71e5GgPXQzL._AC_UL320_.jpg
"PHILIPS 24 inch Frameless Full HD (1920 x 1080) 100Hz Monitor, VESA, HDMI x1, VGA Port x1, Eye Care, 4 Year Advance Replacement Warranty, 241V8LB",$89.99,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71oilmGrVuL._AC_UL320_.jpg
"15.6inch Portable Monitor,1080P USB-C HDMI Second External Monitor for Laptop,PC,Mac Phone,PS,Xbox,Swich,IPS Ultra-Thin Zero Frame Gaming Display/Premium Smart Cover",$59.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71WdRXWl8fL._AC_UL320_.jpg
"Sceptre 34-Inch Curved Ultrawide WQHD Monitor 3440 x 1440 R1500 up to 165Hz DisplayPort x2 99% sRGB 1ms Picture by Picture, Machine Black 2023 (C345B-QUT168)",$229.97,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71sPOWyMwVL._AC_UL320_.jpg
"Sceptre Curved 24-inch Gaming Monitor 1080p R1500 98% sRGB HDMI x2 VGA Build-in Speakers, VESA Wall Mount Machine Black (C248W-1920RN Series)",$89.97,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71P0M7tKjYL._AC_UL320_.jpg
"Laptop Screen Extender, 14"" FHD 1080P IPS Laptop Monitor Extender Dual Screen, Portable Monitor for Laptops 13-17"" with USB-C/HDMI Port, Plug n Play for Windows/Mac/Android/Switch/PS5",$109.98,4.7 out of 5 stars,"https://m.media-amazon.com/images/I/71QmHb3NQFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
"Samsung 27"" Essential S3 (S36GD) Series FHD 1800R Curved Computer Monitor, 100Hz, Game Mode, Advanced Eye Comfort, HDMI and D-sub Ports, LS27D366GANXZA, 2024",$179.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/619WSKm18ZL._AC_UL320_.jpg
"SAMSUNG 32-Inch Flat Computer Monitor, 75Hz, Borderless Display, AMD FreeSync, Game Mode, Advanced Eye Care, HDMI and DisplayPort, LS32B304NWNXGO, 2024",$169.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81rcnsbOb4L._AC_UL320_.jpg
"Z-Edge 27-inch Curved Gaming Monitor, Full HD 1080P 1920x1080 LED Backlight Monitor, with 100Hz Refresh Rate and Eye-Care Technology, 178° Wide View Angle, VGA+HDMI",$159.99,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81yR1iPEUuL._AC_UL320_.jpg
"ZZA 24 Inch Curved Monitor 200HZ FHD(1920×1080P) 105% sRGB FreeSync Computer Monitors, Frameless Full on Three Sides,VESA, HDMI x1, DP x1, Blue Light Filter PC Monitor for Home, Office and Dormitory",$89.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61a2CT9wVHL._AC_UL320_.jpg
Sceptre New Curved 24 inch Gaming Monitor 100Hz 2X HDMI Build-in Speakers 2025,$79.97,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71dzfb1+6-L._AC_UL320_.jpg
"Sceptre Curved 27"" FHD 1080p 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",$92.97,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61Gok3gx2SL._AC_UL320_.jpg
"InnoView Portable Monitor, 15.6 Inch FHD 1080P HDMI USB C Second External Monitor for Laptop, Desktop, MacBook, Phones, Tablet, PS5/4, Xbox, Switch, Built-in Speaker with Protective Case",$65.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71R7vAA5DeL._AC_UL320_.jpg
"Portable Monitor, Ultra Slim 15.6 Inch FHD IPS Laptop Screen Extender with Adjustable Stand, USB C Compatible, Ideal for Travel and Office",,4.4 out of 5 stars,"https://m.media-amazon.com/images/I/711XP6QXMXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
